Designator,Mid X,Mid Y,Rotation,Layer
C1,125.958509,-67.943927,0.0,bottom
C2,126.9746,-78.6892,0.0,bottom
C3,165.2016,-74.8792,180.0,bottom
C4,185.0136,-74.6252,270.0,bottom
D1,126.8476,-61.7982,0.0,bottom
D2,178.9176,-61.7982,0.0,bottom
D3,152.8826,-61.7982,0.0,bottom
J1,115.4576,-73.8732,90.0,bottom
MB1,126.7526,-73.7682,0.0,top
MB2,152.7526,-73.7682,0.0,top
MB3,178.7526,-73.7682,0.0,top
MB4,126.7526,-99.7682,0.0,top
MB5,152.7526,-99.7682,0.0,top
MB6,178.7526,-99.7682,0.0,top
MB7,126.7526,-125.7682,0.0,top
MB8,152.7526,-125.7682,0.0,top
MB9,178.7526,-125.7682,0.0,top
R1,132.253758,-61.667373,0.0,bottom
R2,184.2516,-61.6712,0.0,bottom
R3,135.9916,-75.5142,0.0,bottom
R4,165.2316,-71.86295,180.0,bottom
R5,165.2316,-68.8767,180.0,bottom
R6,158.008758,-61.667373,0.0,bottom
R7,135.9916,-72.3392,0.0,bottom
SW1,192.390975,-74.168937,270.0,bottom
U1,126.8476,-71.4502,0.0,bottom
U2,173.9386,-74.34395,0.0,bottom
U3,151.336549,-73.814072,135.0,bottom
